# omega (eV)     <Re(Eps)>     <Im(Eps)>
2.64264264    11.08655651    10.47173859
2.65765766    11.33235531    10.57014072
2.67267267    11.54092972    10.74124282
2.68768769    11.68172838    10.97325927
2.70270270    11.72579352    11.22782001
2.71771772    11.67730685    11.45454698
2.73273273    11.55592538    11.61873639
2.74774775    11.39219387    11.67898727
2.76276276    11.26157763    11.61191029
2.77777778    11.24617927    11.46437739
2.79279279    11.36856959    11.33037249
2.80780781    11.57683908    11.28445684
2.82282282    11.79886462    11.32979587
2.83783784    12.00854558    11.43443633
2.85285285    12.20393277    11.58708108
2.86786787    12.37454796    11.77974277
2.88288288    12.52149164    11.99850968
2.89789790    12.65055515    12.24392646
2.91291291    12.76145667    12.52157838
2.92792793    12.84332963    12.84784628
2.94294294    12.85377740    13.22460233
2.95795796    12.75313178    13.60582286
2.97297297    12.55078516    13.91859210
2.98798799    12.31143358    14.12022787
3.00300300    12.09975594    14.22559387
3.01801802    11.95139695    14.27330584
3.03303303    11.87393676    14.31006368
3.04804805    11.84988536    14.36434884
3.06306306    11.87509718    14.45499310
3.07807808    11.92090104    14.62606396
3.09309309    11.91066134    14.87347923
3.10810811    11.81154852    15.12787501
3.12312312    11.65191130    15.34106395
3.13813814    11.45606518    15.49817221
3.15315315    11.24921945    15.57378946
3.16816817    11.09710352    15.56134232
3.18318318    11.05410486    15.52927753
3.19819820    11.08095958    15.55819209
3.21321321    11.10636253    15.63724052
3.22822823    11.13609284    15.71753772
3.24324324    11.21560274    15.81222354
3.25825826    11.34034337    15.98612381
3.27327327    11.43250275    16.26994774
3.28828829    11.41980248    16.60721246
3.30330330    11.30906301    16.90939715
3.31831832    11.16714027    17.13868008
3.33333333    11.04276572    17.32039399
3.34834835    10.94210073    17.47828486
3.36336336    10.88150312    17.62526385
3.37837838    10.85830246    17.81191555
3.39339339    10.79744762    18.04808353
3.40840841    10.67591097    18.23848844
3.42342342    10.59911495    18.33615515
3.43843844    10.64567643    18.42632673
3.45345345    10.78863633    18.59976406
3.46846847    10.96727882    18.89559746
3.48348348    11.11640891    19.30871889
3.49849850    11.20649077    19.80032888
3.51351351    11.23478542    20.35354711
3.52852853    11.18061147    20.95035671
3.54354354    11.04869574    21.54809460
3.55855856    10.87273020    22.13441613
3.57357357    10.66911079    22.71268311
3.58858859    10.47258149    23.28665740
3.60360360    10.30894987    23.91407439
3.61861862    10.14546875    24.64788198
3.63363363    9.95328184    25.52149667
3.64864865    9.67270707    26.59774860
3.66366366    9.16987362    27.90520463
3.67867868    8.28027265    29.38391350
3.69369369    6.86840597    30.87213863
3.70870871    4.87722482    32.13709819
3.72372372    2.35270819    32.87991558
3.73873874    -0.43798549    32.78667769
3.75375375    -2.98607839    31.76421837
3.76876877    -4.79313221    30.14650449
3.78378378    -5.79441219    28.55490675
3.79879880    -6.40855515    27.36468878
3.81381381    -7.08522875    26.47097872
3.82882883    -7.95834130    25.49634803
3.84384384    -8.74739791    24.15202672
3.85885886    -9.04986914    22.59455320
3.87387387    -8.82759880    21.25352362
3.88888889    -8.37725168    20.36727633
3.90390390    -7.99796465    19.88879609
3.91891892    -7.84321217    19.65337190
3.93393393    -7.96907284    19.49549749
3.94894895    -8.37463271    19.22573076
3.96396396    -8.91658261    18.64291120
3.97897898    -9.30184006    17.71142112
3.99399399    -9.31983581    16.64968995
4.00900901    -9.01043856    15.71399786
4.02402402    -8.52365971    15.01187639
4.03903904    -7.98086305    14.55396867
4.05405405    -7.47157352    14.31847188
4.06906907    -7.06530155    14.26822061
4.08408408    -6.82440990    14.34921862
4.09909910    -6.79128681    14.47907816
4.11411411    -6.97642187    14.55728493
4.12912913    -7.34206322    14.46229749
4.14414414    -7.76005702    14.08994729
4.15915916    -8.03010467    13.44658264
4.17417417    -8.00669261    12.69605505
4.18918919    -7.71659837    12.04044547
4.20420420    -7.28640480    11.57416376
4.21921922    -6.82499011    11.30091206
4.23423423    -6.41143943    11.19074559
4.24924925    -6.09879915    11.18472039
4.26426426    -5.89246599    11.21045710
4.27927928    -5.75261909    11.22692281
4.29429429    -5.64652361    11.24563373
4.30930931    -5.58765534    11.28757722
4.32432432    -5.60960932    11.33590681
4.33933934    -5.72517139    11.34604852
4.35435435    -5.92488836    11.25953370
4.36936937    -6.14568466    11.00522179
4.38438438    -6.24950473    10.58034473
4.39939940    -6.13782980    10.11474197
4.41441441    -5.85846249    9.75694174
4.42942943    -5.52746575    9.54901880
4.44444444    -5.21851671    9.45458840
4.45945946    -4.95439039    9.43278831
4.47447447    -4.74449876    9.45608294
4.48948949    -4.58957811    9.49121083
4.50450450    -4.46138588    9.51421252
4.51951952    -4.33051985    9.54279535
4.53453453    -4.20965406    9.60452573
4.54954955    -4.12292368    9.69437416
4.56456457    -4.07698786    9.79988039
4.57957958    -4.07744445    9.91519231
4.59459460    -4.14152946    10.03164067
4.60960961    -4.29100631    10.10741721
4.62462463    -4.49166135    10.06999238
4.63963964    -4.63874015    9.90777783
4.65465465    -4.66885181    9.71380132
4.66966967    -4.63332304    9.57229822
4.68468468    -4.60067810    9.46841994
4.69969970    -4.56951905    9.36280528
4.71471472    -4.52192825    9.25526865
4.72972973    -4.45349008    9.15076307
4.74474475    -4.35644695    9.05639382
4.75975976    -4.22771670    8.98904464
4.77477478    -4.07672995    8.96968933
4.78978979    -3.92946284    9.01336125
4.80480480    -3.82168145    9.11207581
4.81981982    -3.77089855    9.23372867
4.83483483    -3.76923117    9.35197880
4.84984985    -3.80364704    9.45352498
4.86486487    -3.85966236    9.53227655
4.87987988    -3.92313282    9.58893085
4.89489490    -3.98234473    9.63200780
4.90990991    -4.03479074    9.67399305
4.92492493    -4.08086425    9.72355845
4.93993994    -4.12309103    9.79945531
4.95495495    -4.19140265    9.91802506
4.96996997    -4.31990237    10.06197683
4.98498498    -4.52260527    10.20483292
5.00000000    -4.81446125    10.31520982
5.01501502    -5.19089187    10.33228452
5.03003003    -5.58645834    10.20128990
5.04504505    -5.90595301    9.93866822
5.06006006    -6.10249934    9.62152040
5.07507507    -6.19161366    9.32224119
5.09009009    -6.22056093    9.07839290
5.10510510    -6.23732942    8.88540643
5.12012012    -6.25913048    8.71714461
5.13513513    -6.28197178    8.56291186
5.15015015    -6.31008681    8.42252732
5.16516517    -6.35158805    8.28855169
5.18018018    -6.41174042    8.14736199
5.19519520    -6.48451538    7.97518066
5.21021021    -6.53762812    7.75719524
5.22522522    -6.53268359    7.51247219
5.24024024    -6.45639404    7.28893103
5.25525525    -6.34169938    7.13240272
5.27027027    -6.24477509    7.04102232
5.28528528    -6.18828744    6.97691781
5.30030030    -6.16423960    6.91657915
5.31531532    -6.16903915    6.85225353
5.33033033    -6.20442941    6.76728685
5.34534535    -6.25381810    6.63652986
5.36036036    -6.27735333    6.45367044
5.37537537    -6.24098042    6.24931193
5.39039039    -6.14737347    6.06724071
5.40540540    -6.02456157    5.92981901
5.42042042    -5.89863723    5.83480163
5.43543543    -5.77998439    5.77225211
5.45045045    -5.67543664    5.73930228
5.46546547    -5.59495444    5.72836214
5.48048048    -5.54233559    5.73011000
5.49549550    -5.52481490    5.73568006
5.51051051    -5.54600503    5.72057120
5.52552553    -5.57913569    5.65818858
5.54054054    -5.57993535    5.56135977
5.55555556    -5.54109044    5.47758702
5.57057057    -5.50102074    5.43210001
5.58558559    -5.49814378    5.40197251
5.60060060    -5.52867627    5.34232957
5.61561562    -5.55230154    5.23676757
5.63063063    -5.53974174    5.10869077
5.64564565    -5.49249889    4.98269596
5.66066066    -5.41277410    4.87052864
5.67567568    -5.30736095    4.79579175
5.69069069    -5.21105533    4.77079738
5.70570571    -5.15361691    4.77113814
5.72072072    -5.13389554    4.76555533
5.73573574    -5.13622282    4.73552429
5.75075075    -5.13774373    4.67515217
5.76576577    -5.11827179    4.59634939
5.78078078    -5.07333347    4.51968554
5.79579580    -5.01231765    4.45991433
5.81081081    -4.94821968    4.42175679
5.82582583    -4.89394949    4.40342967
5.84084084    -4.85973082    4.39290426
5.85585586    -4.83953046    4.37450608
5.87087087    -4.81846219    4.34975840
5.88588589    -4.79750363    4.33264062
5.90090090    -4.79331441    4.32215480
5.91591592    -4.80777977    4.29889887
5.93093093    -4.82446136    4.25735822
5.94594595    -4.83883116    4.20600506
5.96096096    -4.85400229    4.14319503
5.97597598    -4.86393644    4.06329373
5.99099099    -4.85680022    3.96793295
6.00600601    -4.82289844    3.86971473
6.02102102    -4.76698191    3.78708067
6.03603604    -4.70708527    3.72569189
6.05105105    -4.65457468    3.67377644
6.06606607    -4.60194470    3.61893695
6.08108108    -4.53474597    3.56829421
6.09609610    -4.45772711    3.54183415
6.11111111    -4.39459716    3.54392887
6.12612613    -4.36196533    3.55613974
6.14114114    -4.35568671    3.55541603
6.15615616    -4.35723114    3.53043021
6.17117117    -4.34677736    3.48725066
6.18618619    -4.31705496    3.44477227
6.20120120    -4.27900433    3.41968920
6.21621622    -4.25348802    3.41247045
6.23123123    -4.25231776    3.40395930
6.24624625    -4.26400612    3.37486768
6.26126126    -4.26858974    3.32620410
6.27627628    -4.25938841    3.27236261
6.29129129    -4.24360069    3.22204004
6.30630631    -4.22869364    3.17245012
6.32132132    -4.21413744    3.11651312
6.33633634    -4.19198995    3.05074879
6.35135135    -4.15249751    2.98146634
6.36636637    -4.09519929    2.92202235
6.38138138    -4.02985601    2.88161044
6.39639640    -3.96985319    2.85944956
6.41141141    -3.92203681    2.84516745
6.42642643    -3.88242341    2.83044702
6.44144144    -3.84624141    2.81492486
6.45645646    -3.81219355    2.79920347
6.47147147    -3.77870441    2.78414722
6.48648649    -3.74634488    2.77193894
6.50150150    -3.71683871    2.76220417
6.51651652    -3.68949249    2.75511256
6.53153153    -3.66630462    2.75385093
6.54654655    -3.65495851    2.75843089
