# omega (eV)     <Re(Eps)>     <Im(Eps)>
2.64264264    8.40647832    9.92530304
2.65765766    8.26358827    9.96018655
2.67267267    8.13041565    9.91936958
2.68768769    8.03903730    9.86422456
2.70270270    7.95647784    9.83035545
2.71771772    7.84847487    9.80518851
2.73273273    7.70866115    9.75156171
2.74774775    7.57137540    9.64366068
2.76276276    7.47324603    9.49502023
2.77777778    7.43375031    9.33498335
2.79279279    7.44699466    9.20743626
2.80780781    7.46718906    9.13282351
2.82282282    7.45921835    9.08139940
2.83783784    7.43164986    9.01985813
2.85285285    7.40476070    8.93916843
2.86786787    7.39780245    8.84110038
2.88288288    7.43024039    8.74456737
2.89789790    7.49660864    8.68670435
2.91291291    7.55592645    8.68561482
2.92792793    7.56854702    8.71310492
2.94294294    7.54358925    8.72435449
2.95795796    7.51340372    8.71697169
2.97297297    7.48069154    8.70851415
2.98798799    7.42970501    8.70035705
3.00300300    7.35055600    8.66871160
3.01801802    7.26612336    8.58546063
3.03303303    7.21891188    8.45186076
3.04804805    7.23933105    8.30581397
3.06306306    7.31468119    8.19693327
3.07807808    7.40069106    8.14364179
3.09309309    7.45874183    8.12441492
3.10810811    7.48561841    8.09614223
3.12312312    7.51954639    8.03734002
3.13813814    7.59351645    7.97767386
3.15315315    7.69095676    7.95379612
3.16816817    7.78363706    7.96597745
3.18318318    7.86200680    8.00556250
3.19819820    7.91687175    8.07494037
3.21321321    7.91586317    8.16768527
3.22822823    7.83390651    8.22744450
3.24324324    7.72071555    8.18413732
3.25825826    7.67486118    8.04952735
3.27327327    7.72755347    7.91413150
3.28828829    7.82619921    7.82723473
3.30330330    7.93547710    7.77807825
3.31831832    8.04266594    7.75908875
3.33333333    8.13710509    7.75534424
3.34834835    8.22613485    7.75642904
3.36336336    8.30866371    7.76324643
3.37837838    8.38555980    7.76412628
3.39339339    8.47078762    7.75657597
3.40840841    8.57691827    7.74831478
3.42342342    8.70786745    7.76766035
3.43843844    8.82086291    7.83362391
3.45345345    8.87970005    7.89929075
3.46846847    8.92103513    7.91392820
3.48348348    8.99894300    7.89393402
3.49849850    9.11655989    7.87992788
3.51351351    9.25987489    7.88315777
3.52852853    9.42462827    7.91833857
3.54354354    9.57582453    7.99856547
3.55855856    9.68124608    8.08188280
3.57357357    9.77647851    8.12345944
3.58858859    9.90619130    8.14287129
3.60360360    10.06816284    8.17050979
3.61861862    10.25370933    8.21357779
3.63363363    10.45636973    8.28271947
3.64864865    10.65064540    8.37705739
3.66366366    10.82884635    8.45575286
3.67867868    11.04465173    8.49341825
