# omega (eV)     <Re(Eps)>     <Im(Eps)>
2.64264264    12.76095860    13.35170936
2.65765766    12.37743773    12.76768982
2.67267267    12.31770271    12.18613890
2.68768769    12.48899716    11.78297052
2.70270270    12.73968845    11.61233261
2.71771772    12.94969003    11.63443218
2.73273273    13.07186021    11.77568345
2.74774775    13.09874191    12.00086978
2.76276276    12.98958145    12.28291502
2.77777778    12.71657092    12.53436899
2.79279279    12.33782293    12.66950287
2.80780781    11.93254341    12.68414505
2.82282282    11.52512713    12.59815265
2.83783784    11.13638961    12.39350208
2.85285285    10.83490089    12.06715129
2.86786787    10.68219634    11.68085437
2.88288288    10.68241021    11.32089804
2.89789790    10.78734121    11.05509524
2.91291291    10.92245435    10.89637230
2.92792793    11.05065407    10.81336499
2.94294294    11.16134115    10.79730236
2.95795796    11.21854263    10.83256938
2.97297297    11.21430626    10.86134060
2.98798799    11.19902501    10.84992622
3.00300300    11.22668291    10.82621480
3.01801802    11.30130114    10.86675467
3.03303303    11.32784750    11.02169474
3.04804805    11.20552942    11.20541063
3.06306306    10.97385324    11.29483553
3.07807808    10.72510888    11.27687998
3.09309309    10.48506881    11.17860362
3.10810811    10.27398651    10.98654741
3.12312312    10.15781410    10.71276559
3.13813814    10.17581267    10.44017792
3.15315315    10.27438069    10.25893338
3.16816817    10.34038217    10.16243233
3.18318318    10.34308750    10.03762142
3.19819820    10.38325539    9.82625235
3.21321321    10.54426229    9.59945670
3.22822823    10.80527587    9.44908910
3.24324324    11.10645602    9.40040049
3.25825826    11.41903241    9.45556395
3.27327327    11.70193291    9.62926652
3.28828829    11.89894401    9.90418861
3.30330330    11.97041503    10.24201547
3.31831832    11.87981344    10.58742980
3.33333333    11.62200437    10.84493955
3.34834835    11.26496744    10.92530486
3.36336336    10.91683474    10.79505517
3.37837838    10.69619005    10.48536318
3.39339339    10.68339125    10.10871623
3.40840841    10.84803083    9.80127387
3.42342342    11.08301433    9.61094756
3.43843844    11.32363230    9.49616775
3.45345345    11.56816838    9.42454156
3.46846847    11.81587713    9.38227729
3.48348348    12.08903706    9.35687715
3.49849850    12.40641716    9.38756029
3.51351351    12.72289416    9.50872663
3.52852853    12.99331501    9.69716037
3.54354354    13.20615488    9.92466892
3.55855856    13.34918385    10.16421187
3.57357357    13.43432671    10.37052614
3.58858859    13.50693900    10.53341121
3.60360360    13.57493760    10.66978727
3.61861862    13.64859514    10.75650358
3.63363363    13.78311996    10.80400721
3.64864865    13.99076614    10.86730584
3.66366366    14.25430594    10.97393042
3.67867868    14.56158179    11.15172357
3.69369369    14.87056726    11.42324142
3.70870871    15.13668802    11.77016648
3.72372372    15.34677592    12.15272244
3.73873874    15.52752363    12.54612042
3.75375375    15.70450355    12.97856257
3.76876877    15.84065216    13.49263620
3.78378378    15.86036578    14.06352899
3.79879880    15.74736006    14.60125845
3.81381381    15.56358750    15.04958515
3.82882883    15.36836571    15.42170625
3.84384384    15.17615356    15.74354317
3.85885886    14.99623076    16.02211560
3.87387387    14.84202874    16.27695954
3.88888889    14.70185224    16.53197337
3.90390390    14.54831865    16.78038459
3.91891892    14.39001756    16.98295510
3.93393393    14.28568560    17.14382430
3.94894895    14.24645354    17.32919199
3.96396396    14.22416196    17.56100942
3.97897898    14.20951189    17.82358454
3.99399399    14.19748605    18.14477610
4.00900901    14.11939451    18.52983563
4.02402402    13.93038655    18.89466396
4.03903904    13.68623534    19.15029237
4.05405405    13.48646534    19.29031282
4.06906907    13.39195262    19.36752769
4.08408408    13.43078532    19.44458103
4.09909910    13.59424048    19.60134097
4.11411411    13.81987785    19.88716908
4.12912913    14.05255775    20.29387651
4.14414414    14.27564315    20.80824604
4.15915916    14.47048767    21.43525473
4.17417417    14.61240789    22.16461127
4.18918919    14.69843005    22.99071199
4.20420420    14.70782726    23.93276925
4.21921922    14.58211707    24.98314352
4.23423423    14.29074805    26.07065701
4.24924925    13.89446116    27.14638390
4.26426426    13.44988046    28.26873894
4.27927928    12.91626071    29.53494373
4.29429429    12.15587878    30.99583811
4.30930931    10.98985123    32.58235516
4.32432432    9.29787683    34.11027768
4.33933934    7.05682652    35.33447079
4.35435435    4.37543811    35.96541878
4.36936937    1.59702719    35.77842881
4.38438438    -0.82382785    34.88176285
4.39939940    -2.68879054    33.65015811
4.41441441    -4.08659657    32.40349119
4.42942943    -5.25005783    31.29855371
4.44444444    -6.44375098    30.24098477
4.45945946    -7.67643811    28.91608059
4.47447447    -8.59874217    27.18983828
4.48948949    -8.90052503    25.34017696
4.50450450    -8.62507354    23.78051315
4.51951952    -8.07420997    22.73319684
4.53453453    -7.54742439    22.17102043
4.54954955    -7.22255852    21.97135151
4.56456457    -7.23289045    22.00227026
4.57957958    -7.69625123    22.04657231
4.59459460    -8.58211833    21.75795808
4.60960961    -9.54017453    20.84000120
4.62462463    -10.05353490    19.40339856
4.63963964    -9.92145489    17.91183306
4.65465465    -9.32872449    16.72537549
4.66966967    -8.54767606    15.94045332
4.68468468    -7.75799358    15.50515650
4.69969970    -7.04767421    15.35386990
4.71471472    -6.48309507    15.43998179
4.72972973    -6.13758874    15.70309858
4.74474475    -6.06429874    16.04489427
4.75975976    -6.27363244    16.35471086
4.77477478    -6.75086706    16.51726980
4.78978979    -7.42986609    16.38269990
4.80480480    -8.10168594    15.82518319
4.81981982    -8.47005464    14.93470561
4.83483483    -8.43164495    14.00845431
4.84984985    -8.12893875    13.25277452
4.86486487    -7.71882147    12.68664179
4.87987988    -7.26585135    12.27395977
4.89489490    -6.80559297    12.00715807
4.90990991    -6.39109745    11.86325113
4.92492493    -6.03607642    11.78461143
4.93993994    -5.70649809    11.75394784
4.95495495    -5.39900433    11.80256819
4.96996997    -5.15522703    11.94887570
4.98498498    -5.03191770    12.17614357
5.00000000    -5.07886941    12.42735630
5.01501502    -5.30904725    12.61026374
5.03003003    -5.67884997    12.62723213
5.04504505    -6.08323629    12.40171810
5.06006006    -6.35345624    11.94440509
5.07507507    -6.37967083    11.40938187
5.09009009    -6.21670076    10.95546623
5.10510510    -5.97897812    10.61663709
5.12012012    -5.71361018    10.35149486
5.13513513    -5.40748347    10.15191122
5.15015015    -5.07594949    10.05514409
5.16516517    -4.78227562    10.06737780
5.18018018    -4.56919582    10.13696547
5.19519520    -4.42158655    10.20866266
5.21021021    -4.29591867    10.27046982
5.22522522    -4.16958345    10.35458915
5.24024024    -4.06800717    10.49616189
5.25525525    -4.04203414    10.69280552
5.27027027    -4.13175594    10.90383111
5.28528528    -4.34743893    11.06534471
5.30030030    -4.65951108    11.11301461
5.31531532    -5.00628392    11.00278115
5.33033033    -5.30211648    10.72434097
5.34534535    -5.45432166    10.32524988
5.36036036    -5.42300744    9.91771666
5.37537537    -5.26627373    9.60236237
5.39039039    -5.07578756    9.39139673
5.40540540    -4.89094100    9.24558101
5.42042042    -4.71278064    9.14653400
5.43543543    -4.55446894    9.09060992
5.45045045    -4.43049597    9.05338189
5.46546547    -4.32511860    9.00716718
5.48048048    -4.20922534    8.95442852
5.49549550    -4.07593810    8.91941687
5.51051051    -3.93983941    8.91425513
5.52552553    -3.81379049    8.93988504
5.54054054    -3.71471960    8.98756390
5.55555556    -3.63729408    9.03180003
5.57057057    -3.55413921    9.08177984
5.58558559    -3.48061271    9.16863972
5.60060060    -3.45640993    9.28379426
5.61561562    -3.49960329    9.38532274
5.63063063    -3.58798459    9.42216797
5.64564565    -3.65505736    9.37480779
5.66066066    -3.64023991    9.29425997
5.67567568    -3.55830906    9.25400913
5.69069069    -3.46159850    9.26769510
5.70570571    -3.36180361    9.31488028
5.72072072    -3.24953861    9.40826047
5.73573574    -3.15179081    9.57430722
5.75075075    -3.11394705    9.80205078
5.76576577    -3.15271576    10.05384873
5.78078078    -3.25725682    10.30938931
5.79579580    -3.43161311    10.57040630
5.81081081    -3.70214910    10.81859899
5.82582583    -4.07705516    11.00251484
5.84084084    -4.52379416    11.06927941
5.85585586    -4.97963403    10.99276496
